STT_JSON,MaKho,TenKho,MaThan,TenThan,TonCK,Keys
"54","43","Kho 31","Cám đá","Cám đá","3262","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"55","43","Kho 31","Than nguyên khai","Than nguyên khai","16854.98","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"56","44","Kho 32","Cám 6A.1","Cám 6A.1","588.06","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"57","44","Kho 32","Bùn tuyển 3A","Bùn tuyển 3A","3492.9","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"58","44","Kho 32","Cám đá","Cám đá","3405.39","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"59","44","Kho 32","Than nguyên khai","Than nguyên khai","5671.34","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"60","45","Kho 33","Cám đá","Cám đá","3685.58","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"61","34A","Kho 34","Cám 1","Cám 1","43197.29","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"62","36","Kho 37","Bùn tuyển 3A","Bùn tuyển 3A","47376.58","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"63","46a","Kho 38","Than nguyên khai","Than nguyên khai","366573.53","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"64","28","Kho 39","Than Anthracite Lào Tầu TRƯỜNG NGUYÊN STAR","Than Anthracite Lào Tầu TRƯỜNG NGUYÊN STAR","9.13","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"65","28","Kho 39","Than NK","Than NK","10128.91","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"66","60","Kho 40","Đá thải","Đá thải","5695.1","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"67","k59","NM Nhiệt điện","Cám 6b.1","Cám 6b.1","2133","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"68","31B","Nhà máy sấy","Cám 8C","Cám 8C","40","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
"69","K60","Ẩm nhiệt điện","Cám 6b.1","Cám 6b.1","1182.76","MaKho|TenKho|kho|MaThan|TenThan|coal|TonDK|NhapTK|XuatTK|TonCK|ton|ttcoApp|sourceFormula|ttinKho|ttinThan|TenThanGoc|isGroupedCoal|groupedCoalNames|groupedCoalCount"
